Lemma,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s)
,,,,,,,,,,,
слово,word,N.Neut.Inan,A1,"Golosa, MIP, Лм",1,словам,Plur.Dat,"По словам директора, цена за билет на фестиваль очень низкая.","According to the director, the cost of a ticket to the festival is very low.",,"коммуникация, общество"
слово,word,N.Neut.Inan,A1,"Golosa, MIP, Лм",2,слова,Sing.Gen,Значение этого слова неизвестно.,The meaning of this word is unknown.,,"коммуникация, общество"
слово,word,N.Neut.Inan,A1,"Golosa, MIP, Лм",3,слово,Sing.Nom,В начале было слово.,In the beginning was the word.,John 1:1,"коммуникация, общество"
,,,,,,,,,,,
год,year,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,лет,Gen.Plur,Ване двадцать пять лет.,Vanya is 25 years old.,_,"мера, время"
год,year,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,года,Gen.Sing,Я не был в театре два года. ,I haven't been to the theatre for 2 years.,_,"мера, время"
год,year,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,году,Loc.Sing,Я родился в 1990 году. ,I was born in 1990.,_,"мера, время"
человек,human,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",1,люди,Nom.Plur,"Я не знаю, кто эти люди. ",I don't know who these people are.,_,люди
человек,human,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",2,человек,Nom.Sing,Этот человек мне знаком. ,I know that person.,_,люди
человек,human,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",3,человека,Gen.Sing,Я не знаю этого человека. ,I don't know that person.,_,люди
брать,take,V,A1,"Golosa, MiP, LM, МН, Поехали",1,брать,Inf,Он не любит брать деньги в долг. ,He doesn't like to borrow money.,_,"общение, магазин"
брать,take,V,A1,"Golosa, MiP, LM, МН, Поехали",2,берёт,Sing.3.Pres/Fut,Она всегда берет в магазине молоко. ,She always gets milk at the grocery store.,_,"общение, магазин"
брать,take,V,A1,"Golosa, MiP, LM, МН, Поехали",3,брали,Plur.Past,"Она не была высокой, поэтому ее не брали в баскетбольную команду. ","She wasn't tall, so she wasn't chosen for the basketball team.",_,"общение, магазин"
взять,take,V,A1,"LM, МН, Поехали",1,взять,Inf,"На улице дождь, не забудь взять зонт. ","It's raining outside, don't forget to take an umbrella.",_,"общение, магазин"
взять,take,V,A1,"LM, МН, Поехали",2,взял,Masc.Sing.Past,"Хорошо, что он взял с собой куртку. На улице холодно. ",Good that he took his coat with him. It's cold outside.,_,"общение, магазин"
взять,take,V,A1,"LM, МН, Поехали",3,взяли,Plur.Past,В Барселону мы взяли самый большой чемодан.,We took the biggest suitcase with us to Barcelona.,_,"общение, магазин"
время,time,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",1,время,Acc.Sing,Я не люблю тратить время на покупки.,I don't like to spend time on shopping.,_,время
время,time,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",2,времени,Gen.Sing,У меня мало свободного времени.,I don't have much free time.,_,время
время,time,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",3,временем,Ins.Sing,Со временем бегать по утрам становится легче.,After a while jogging in the morning gets easier.,_,время
вопрос,question,N.Masc.Inan,A1,"Golosa, MiP, МН, Поехали",1,вопрос,Nom.Sing,"Быть или не быть, вот в чём вопрос. ","To be, or not to be, that is the question.","Hamlet's soliloquy. 'Hamlet', W. Shakespeare ",люди
вопрос,question,N.Masc.Inan,A1,"Golosa, MiP, МН, Поехали",2,вопросы,Acc.Plur,Никто не может ответить на мои вопросы. ,Nobody can answer my questions. ,_,люди
вопрос,question,N.Masc.Inan,A1,"Golosa, MiP, МН, Поехали",3,вопросов,Gen.Plur,У нас много вопросов к президенту.,We have many questions for the president.,_,люди
раз,time,N.Masc.Inan,A1,"LM, МН",1,раз,Acc.Sing,"Я помню, как увидел Эйфелеву башню в первый раз.",I remember the first time I saw the Eiffel tower.,_,"мера, время"
раз,time,N.Masc.Inan,A1,"LM, МН",2,раза,Gen.Sing,Нам повторили вопрос два раза: по-русски и по-английски. ,They repeated their question twice: in Russian and in English.,_,"мера, время"
раз,time,N.Masc.Inan,A1,"LM, МН",3,разу,Gen.Sing,Я ни разу в жизни не видела жирафа. ,I have never seen a giraffe in my life. ,_,"мера, время"
жизнь,life,N.Fem.Inan,A1,"MiP, LM, МН",1,жизни,Gen.Sing,На Марсе нет жизни.,There's no life on Mars.,_,"время, люди"
жизнь,life,N.Fem.Inan,A1,"MiP, LM, МН",2,жизнь,Acc.Sing,Расскажите мне про свою жизнь в Америке!,Tell me about your life in America!,_,"время, люди"
жизнь,life,N.Fem.Inan,A1,"MiP, LM, МН",3,жизнью,Ins.Sing,Я доволен своей жизнью.,I am satisfied with my life.,_,"время, люди"
работа,work,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,работы,Gen.Sing,Сейчас у меня нет работы.,I don't have a job now.,_,учеба/работа
работа,work,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,работу,Acc.Sing,Она ищет работу через интернет. ,She is looking for a job on the internet.,_,учеба/работа
работа,work,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,работа,Nom.Sing,Моя работа мне не нравится.,I don't like my job.,_,учеба/работа
видеть,see,V,A1,"Golosa, MiP, LM, МН, Поехали",1,видел,Masc.Sing.Past,Он видел Тауэрский мост. ,He saw the Tower bridge.,_,внутренний мир
видеть,see,V,A1,"Golosa, MiP, LM, МН, Поехали",2,вижу,Sing.1.Pres/Fut,Я не вижу звезд. Слишком светло. ,I don't see the stars. It's too bright.,_,внутренний мир
видеть,see,V,A1,"Golosa, MiP, LM, МН, Поехали",3,видеть,Inf,Очки помогают людям видеть.,Glasses help people to see.,_,внутренний мир
день,day,N.Masc.Inan,A1,"MiP, LM, МН",1,день,Acc.Sing,Это лекарство следует принимать два раза в день. ,You should take this medicine twice a day. ,_,"мера, время"
день,day,N.Masc.Inan,A1,"MiP, LM, МН",2,дня,Gen.Sing,Через три дня у нас экзамен. Надо готовиться!,We have an exam in three days. We need to study!,_,"мера, время"
день,day,N.Masc.Inan,A1,"MiP, LM, МН",3,дней,Gen.Plur,Нас не будет в городе несколько дней. ,We won't be in the city for several days.,_,"мера, время"
ребенок,child,N.Masc.Anim,A1,"LM, МН",1,детей,Gen.Plur,В нашей семье двое детей. ,There are two children in our family.,_,"люди, здоровье"
ребенок,child,N.Masc.Anim,A1,"LM, МН",2,дети,Nom.Plur,Почему многие дети любят конфеты и не любят брокколи?,Why is it many children like sweets and don't like broccoli?,_,"люди, здоровье"
ребенок,child,N.Masc.Anim,A1,"LM, МН",3,ребёнка,Gen.Sing,Я не могу найти своего ребенка в толпе!,I can't find my child in the crowd!,_,"люди, здоровье"
страна,country,N.Fem.Inan,A1,"Golosa, MiP, МН",1,страны,Gen.Sing,Я не собираюсь уезжать из своей страны. ,I don't plan to leave my country.,_,"люди, путешествие"
страна,country,N.Fem.Inan,A1,"Golosa, MiP, МН",2,стране,Loc.Sing,В нашей стране много нефти. ,There is a lot of oil in our country.,_,"люди, путешествие"
страна,country,N.Fem.Inan,A1,"Golosa, MiP, МН",3,стран,Gen.Plur,Люди из разных стран приехали в Россию на чемпионат мира по футболу.,People from different countries came to Russia to watch the World Cup.,_,"люди, путешествие"
другой,other,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",1,других,Acc.Plur,"Этих собак мы уже видели, покажите нам других. ","We already saw these dogs, show us the others.",_,_
другой,other,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",2,другому,Dat.Sing,Прочитал книгу — передай ее другому.,"After you finish a book, pass it to another person.",_,_
другой,other,A,A1,"Golosa, MiP, LM, МН",3,другом,Loc.Masc.Sing,"Здесь хлеб стоит пятьдесят рублей, а в другом магазине — сорок.","Bread here costs 50 roubles, and in another shop it costs 40 roubles.",_,_
мир,world,N.Masc.Inan,A1,"LM, МН",1,мира,Gen.Sing,Этот человек был из другого мира. ,This person was from a different world.,_,"люди, путешествие"
мир,world,N.Masc.Inan,A1,"LM, МН",2,мире,Loc.Sing,"В мире животных не существует чувств, а есть только инстинкты.","There are no feelings in the animal world, only instincts.",_,"люди, путешествие"
мир,world,N.Masc.Inan,A1,"LM, МН",3,мир,Nom.Sing,С появлением интернета мир значительно изменился.,The world changed radically with the invention of the internet.,_,"люди, путешествие"
новый,new,A,A1,"Golosa, MiP, LM, МН",1,новых,Gen.Plur,Нам на кухне не хватает новых полотенец.,There aren’t enough new towels in the kitchen.,_,время
новый,new,A,A1,"Golosa, MiP, LM, МН",2,новые,Nom.Plur,В нашем университете в этом году появились новые факультеты.,There are new academic departments at our university this year.,_,время
новый,new,A,A1,"Golosa, MiP, LM, МН",3,новый,Nom.Masc.Sing,Теперь историю у нас будет вести новый преподаватель.,History now will be taught by a new teacher.,_,время
место,place,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",1,место,Acc.Sing,"Он соглашался работать по выходным, потому что боялся потерять место в хорошей компании.",He agreed to work on weekends because he was afraid of losing his position in a good company.,_,путешествие
место,place,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",2,месте,Loc.Sing,Я всегда плохо сплю на новом месте., ,_,путешествие
место,place,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",3,места,Gen.Sing,"Я не мог сдвинуть шкаф с места, такой он был тяжелый!","I couldn't move the wardrobe, it was so heavy.",_,путешествие
рука,hand/arm,N.Fem.Inan,A1,"MiP, LM, МН, Кс",1,руку,Acc.Sing,Дай мне руку! Я не могу подняться.,Give me a hand! I can't stand up.,_,"люди, здоровье"
рука,hand/arm,N.Fem.Inan,A1,"MiP, LM, МН, Кс",2,руки,Acc.Plur,"Возьмите друг друга за руки, мы будем танцевать!","Take each other's hands, we will dance!",_,"люди, здоровье"
рука,hand/arm,N.Fem.Inan,A1,"MiP, LM, МН, Кс",3,руках,Loc.Plur,"Когда я его увидел, он держал в руках маленького котенка.","When I saw him, he was holding a little kitten in his hands.",_,"люди, здоровье"
встречать,meet,V,A1,"MiP, LM, МН",1,встречать,Inf,Я часто езжу в аэропорт встречать своих друзей.,I often go to the airport to pick up my friends.,_,"люди, общение"
встречать,meet,V,A1,"MiP, LM, МН",2,встречал,Masc.Sing.Past,Я никогда не встречал никого красивее тебя.,I have never met anyone more beautiful than you.,_,"люди, общение"
встречать,meet,V,A1,"MiP, LM, МН",3,встречали,Plur.Past,По дороге домой мы часто встречали Петю.,We often met Petya on our way home.,_,"люди, общение"
хороший,good,A,A1,"Golosa, MiP, LM, МН",1,лучше,Comp,"Маша готовит лучше, чем Ваня.",Masha cooks better than Vanya.,_,описание
хороший,good,A,A1,"Golosa, MiP, LM, МН",2,хорошо,Neut.Sing,Он хорошо поет.,He sings well.,_,описание
хороший,good,A,A1,"Golosa, MiP, LM, МН",3,хороший,Nom.Masc.Sing,Вася — хороший друг.,Vasya is a good friend.,_,описание
слово,word,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",1,слово,Nom.Sing,В начале было слово.,In the beginning was the word.,John 1:1,"люди, общение"
слово,word,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",2,слова,Gen.Sing,Значение этого слова неизвестно.,The meaning of this word is unknown.,_,"люди, общение"
слово,word,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",3,слов,Gen.Plur,Это так красиво! У меня нет слов!,It's so beautiful! I have no words!,_,"люди, общение"
дом,house/home,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,дома,Gen.Sing,"Я уже вышел из дома, когда вспомнил, что не взял зонтик. Пришлось возвращаться!","I had already left my house, when I remembered that I didn't take an umbrella. I had to go back for it.",_,"люди, жилье"
дом,house/home,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,доме,Loc.Sing,Мы купили квартиру в этом доме.,We bought an apartment in this building.,_,"люди, жилье"
дом,house/home,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,дом,Nom.Sing,Мой дом — моя крепость.,My house is my castle.,_,"люди, жилье"
школа,school,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,школе,Loc.Sing,В нашей школе 800 учеников.,There are 800 students in our school.,_,"люди, учеба/работа"
школа,school,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,школу,Acc.Sing,Я люблю свою школу.,I love my school.,_,"люди, учеба/работа"
школа,school,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,школы,Gen.Sing,После школы я поступила в университет.,After finishing school I entered university.,_,"люди, учеба/работа"
женщина,woman,N.Fem.Anim,A1,"Golosa, MiP, LM, МН",1,женщина,Nom.Sing,Кто эта женщина?,Who is that woman?,_,люди
женщина,woman,N.Fem.Anim,A1,"Golosa, MiP, LM, МН",2,женщины,Nom.Plur,Эти женщины — мои учителя.,These women are my teachers.,_,люди
женщина,woman,N.Fem.Anim,A1,"Golosa, MiP, LM, МН",3,женщин,Gen.Plur,В Иране есть вагоны метро только для женщин.,"There are special ""women only"" cars in the Iranian metro.",_,люди
нужный,_,A,A1,МН,1,нужно,Neut.Sing,Высшее образование ему не нужно.,He doesn't need higher education.,_,"внутренний мир, учеба/работа"
нужный,_,A,A1,МН,2,нужна,Fem.Sing,"Мне нужна вода, здесь очень жарко.",I need water -- it's too hot here.,_,"внутренний мир, учеба/работа"
нужный,_,A,A1,МН,3,нужны,Plur,Мне не нужны проблемы.,I don't need any problems.,_,"внутренний мир, учеба/работа"
проблема,problem,N.Fem.Inan,A1,"MiP, LM, МН",1,проблема,Nom.Sing,Глобальное потепление — проблема для всего мира.,Global warming is a problem for the whole world.,_,"люди, здоровье"
проблема,problem,N.Fem.Inan,A1,"MiP, LM, МН",2,проблем,Gen.Plur,У меня на работе много проблем.,I have many problems at work.,_,"люди, здоровье"
проблема,problem,N.Fem.Inan,A1,"MiP, LM, МН",3,проблемы,Nom.Plur,Проблемы других его не интересуют.,The problems of others don't interest him.,_,"люди, здоровье"
друг,friend,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",1,друг,Nom.Sing,Вася — мой лучший друг.,Vasya is my best friend.,_,люди
друг,friend,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",2,друзья,Nom.Plur,Мои друзья — моё богатство.,My friends are my treasure.,_,люди
друг,friend,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",3,друзей,Gen.Plur,"Не имей сто рублей, а имей сто друзей.",It's better to have 100 friends than 100 roubles.,_,люди
лицо,face/person,N.Neut.Inan,A1,МН,1,лицо,Acc.Sing,Летом важно защищать лицо от солнца.,It's important to to protect your face from sun during summer.,_,"люди, здоровье, учеба/работа"
лицо,face/person,N.Neut.Inan,A1,МН,2,лицом,Ins.Sing,Они объединились перед лицом опасности. ,They united in the face of danger.,_,"люди, здоровье, учеба/работа"
лицо,face/person,N.Neut.Inan,A1,МН,3,лица,Gen.Sing,На переговорах с новыми партнерами я должен был говорить от лица всей нашей компании.,I had to talk with our new partners at the meeting on behalf of our company.,_,"люди, здоровье, учеба/работа"
деньги,money,N.Inan,A1,"Golosa, MiP, LM, МН",1,деньги,Acc.Plur,"Я забыл дома деньги, придется возвращаться.",I forgot my money at home so I have to go back.,_,"люди, учеба/работа"
деньги,money,N.Inan,A1,"Golosa, MiP, LM, МН",2,денег,Gen.Plur,У меня нет денег на машину.,I don't have money to buy a car.,_,"люди, учеба/работа"
деньги,money,N.Inan,A1,"Golosa, MiP, LM, МН",3,деньгами,Ins.Plur,В этом магазине можно расплатиться только наличными деньгами.,You can only pay in cash in this shop.,_,"люди, учеба/работа"
фильм,film,N.Masc.Inan,A1,"MiP, LM, МН",1,фильм,Nom.Sing,Этот фильм вышел в 2010 году.,This film was made in 2010.,_,свободное время
фильм,film,N.Masc.Inan,A1,"MiP, LM, МН",2,фильма,Gen.Sing,Режиссер этого фильма — Джэймс Кэмерон.,James Cameron is the director of this film.,_,свободное время
фильм,film,N.Masc.Inan,A1,"MiP, LM, МН",3,фильме,Loc.Sing,В этом фильме снималась Джулия Робертс.,Julia Roberts starred in this film. ,_,свободное время
город,city/town,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,городе,Loc.Sing,В этом городе всего два кинотеатра.,There are only two cinemas in this town.,_,"люди, путешествие"
город,city/town,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,города,Gen.Sing,"Выпало много снега, поэтому мы долго не могли выехать из города.","There was a lot of snow, so it took us long to get out of the city.",_,"люди, путешествие"
город,city/town,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,город,Nom.Sing,Москва — мой любимый город!,Moscow is my favorite city.,_,"люди, путешествие"
часть,part,N.Fem.Inan,A1,"MiP, МН",1,часть,Nom.Sing,Общение — важная часть нашей жизни.,Communication is an important part of our life.,_,мера
часть,part,N.Fem.Inan,A1,"MiP, МН",2,части,Gen.Sing,Я еще не видел второй части этого фильма.,I haven't seen the second part of this film yet.,_,мера
часть,part,N.Fem.Inan,A1,"MiP, МН",3,частью,Ins.Sing,Спорт стал частью моей жизни.,Sport became a part of my life.,_,мера
глаз,eye,N.Masc.Inan,A1,"MiP, LM, МН",1,глаза,Acc.Plur,"Когда врешь, сложно смотреть людям в глаза.","When you are lying, it's difficult to look people in the eyes.",_,"люди, здоровье"
глаз,eye,N.Masc.Inan,A1,"MiP, LM, МН",2,глазами,Ins.Plur,Неправда! Я видел это своими глазами!,That's not true! I saw it with my own eyes!,_,"люди, здоровье"
глаз,eye,N.Masc.Inan,A1,"MiP, LM, МН",3,глазах,Loc.Plur,В ее глазах я видел грусть.,I saw sadness in her eyes.,_,"люди, здоровье"
большой,big,A,A1,"Golosa, MiP, LM, МН, Поехали",1,большая,Nom.Fem.Sing,У меня большая проблема: я не успеваю в аэропорт!,I have a big problem: I can't get to the airport on time.,_,мера
большой,big,A,A1,"Golosa, MiP, LM, МН, Поехали",2,большой,Nom.Masc.Sing,Большой брат следит за тобой.,Big brother is watching you.,"G. Orwell ""1984""",мера
большой,big,A,A1,"Golosa, MiP, LM, МН, Поехали",3,больше,Comp,Арбуз больше яблока.,A watermelon is bigger than an apple.,_,мера
конец,end,N.Masc.Inan,A1,МН,1,конце,Loc.Sing,В конце ужина нам подавали десерт.,Dessert was served at the end of the dinner.,_,мера
конец,end,N.Masc.Inan,A1,МН,2,конца,Gen.Sing,Я больше не буду путешествовать с Катей: она без конца ноет!,I will never travel with Katya again: she whines endlessly!,_,мера
конец,end,N.Masc.Inan,A1,МН,3,концов,Gen.Plur,Поможет мне кто-нибудь в конце концов?!,Will anybody help me finally?!,_,мера
голова,head,N.Fem.Inan,A1,"MiP, LM, МН, Кс",1,голову,Acc.Sing,Мне в голову пришла великолепная идея.,A great idea came to my mind.,_,"люди, здоровье"
голова,head,N.Fem.Inan,A1,"MiP, LM, МН, Кс",2,головой,Ins.Sing,Он покачал головой в знак неодобрения.,He shook his head as a sign of disapproval.,_,"люди, здоровье"
голова,head,N.Fem.Inan,A1,"MiP, LM, МН, Кс",3,голове,Loc.Sing,Тревожные мысли в голове мешали мне спать.,Upsetting thoughts in my head didn't let me sleep.,_,"люди, здоровье"
язык,language/tongue,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,языка,Gen.Sing,Я хожу на курсы русского языка. Мне нравится.,I go to Russian language courses. I like it.,_,"люди, путешествие, здоровье"
язык,language/tongue,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,языке,Loc.Sing,"В русском языке существительные трех родов: мужского, женского и среднего.","There are nouns of three genders in Russian: masculine, feminine and neuter.",_,"люди, путешествие, здоровье"
язык,language/tongue,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,язык,Nom.Sing,Русский язык — официальный язык Российской Федерации.,Russian is the official language of Russian Federation.,_,"люди, путешествие, здоровье"
форма,form,N.Fem.Inan,A1,"LM, МН",1,форме,Loc.Sing,"Перед нами стоял человек в форме, но мы не сразу поняли, что это полицейский.",There was a man in uniform in front of us but it took us time to realize that he was a policeman.,_,мера
форма,form,N.Fem.Inan,A1,"LM, МН",2,форм,Gen.Plur,В путешествии по Мексике я видел кактусы удивительных форм.,While traveling in Mexico I saw cactuses of strange forms.,_,мера
форма,form,N.Fem.Inan,A1,"LM, МН",3,форма,Nom.Sing,"Мне не нравится форма, в которой это написано.",I don't like the form in which it's written. ,_,мера
число,number/amount,N.Neut.Inan,A1,"MiP, МН",1,числе,Loc.Sing,Прилагательное «большие» стоит во множественном числе.,The adjective «большие» is a plural form.,_,"мера, время"
число,number/amount,N.Neut.Inan,A1,"MiP, МН",2,число,Nom.Sing,"Число Пи равно 3,1415. ",The number Pi equals 3.1415.,_,"мера, время"
число,number/amount,N.Neut.Inan,A1,"MiP, МН",3,числа,Gen.Sing,"Он был из числа тех людей, которые постоянно опаздывают.",He was among those people who are always late.,_,"мера, время"
вода,water,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,воды,Gen.Sing,У нас дома уже две недели нет горячей воды.,We haven’t had hot water at home for 2 weeks already.,_,еда
вода,water,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,воду,Acc.Sing,Я не пью воду с газом.,I don't drink sparkling water.,_,еда
вода,water,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,водой,Ins.Sing,Без маски или акваланга человек не может дышать под водой.,A human being can't breathe underwater without a mask or scuba gear.,_,еда
говорить,talk/speak,V,A1,"Golosa, MiP, LM, МН",1,говорит,Sing.3.Pres/Fut,Он говорит слишком быстро.,He speaks too fast.,_,"люди, общение"
говорить,talk/speak,V,A1,"Golosa, MiP, LM, МН",2,говорить,Inf,Я не хочу говорить об этом.,I don't want to talk about it.,_,"люди, общение"
говорить,talk/speak,V,A1,"Golosa, MiP, LM, МН",3,говорю,Sing.1.Pres/Fut,"Я всегда говорю, что думаю.",I always say what I think.,_,"люди, общение"
гулять,walk,V,A1,"MiP, LM, МН",1,гулять,Inf,Я люблю гулять по Москве.,I like walking around Moscow.,_,свободное время
гулять,walk,V,A1,"MiP, LM, МН",2,гуляют,Plur.3.Pres/Fut,Современные дети мало гуляют.,Today’s children walk little.,_,свободное время
гулять,walk,V,A1,"MiP, LM, МН",3,гулял,Masc.Sing.Past,"Я часто гулял в этом лесу, когда приезжал к бабушке.",I often walked in that forest when I came to visit my grandma.,_,свободное время
группа,group,N.Fem.Inan,A1,"Golosa, MiP, МН",1,группы,Gen.Sing,Только три человека из группы сдали экзамен.,Only three people in our group passed the exam.,_,"люди, мера"
группа,group,N.Fem.Inan,A1,"Golosa, MiP, МН",2,группа,Nom.Sing,У меня четвертая группа крови.,My blood type is AB.,_,"люди, мера"
группа,group,N.Fem.Inan,A1,"Golosa, MiP, МН",3,групп,Gen.Plur,Для работы над проектом мы разделились на пять групп.,We divided into five groups to work on the project.,_,"люди, мера"
общий,common,A,A1,"LM, МН",1,общего,Gen.Neut.Sing,Ради общего дела я готова поработать в выходные.,I am ready to work during the weekend to acheive our goal.,_,люди
общий,common,A,A1,"LM, МН",2,общем,Loc.Neut.Sing,"Семья есть, работа есть, в общем, пока меня всё устраивает.","I have a family and work. Generally, I'm happy with everything.",_,люди
общий,common,A,A1,"LM, МН",3,общей,Gen.Fem.Sing,Это событие - часть нашей общей истории. ,This event is a part of our common history.,_,люди
история,history,N.Fem.Inan,A1,"Golosa, MiP, МН",1,история,Nom.Sing,История древнего мира — мой любимый предмет в университете.,Ancient history is my favorite subject at the university.,_,"время, учеба/работа"
история,history,N.Fem.Inan,A1,"Golosa, MiP, МН",2,истории,Gen.Sing,Без изучения истории у людей нет будущего.,Without learning history people have no future.,_,"время, учеба/работа"
