Lemma,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s)
история,history,N.Fem.Inan,A1,"Golosa, MiP, МН",3,историю,Acc.Sing,Я изучаю историю России.,I study Russian history.,_,"время, учеба/работа"
давать,give,V,A1,"MiP, LM, МН",1,даёт,Sing.3.Pres/Fut,Мама дает ребенку игрушку.,The mom gives a toy to her child.,_,"общение, магазин"
давать,give,V,A1,"MiP, LM, МН",2,дают,Plur.3.Pres/Fut,Дети шумят и не дают мне работать.,"Childeren are noisy, they don't let me work. ",_,"общение, магазин"
давать,give,V,A1,"MiP, LM, МН",3,давать,Inf,Хороший психолог не станет давать советов.,A good psychologist will never give advice.,_,"общение, магазин"
программа,proram,N.Fem.Inan,A1,"MiP, LM, МН",1,программы,Gen.Sing,У меня на компьютере нет хорошей программы для обработки фото.,I don't have a good program on my computer for editing photos.,_,"учеба/работа, свободное время"
программа,proram,N.Fem.Inan,A1,"MiP, LM, МН",2,программа,Nom.Sing,Это моя любимая программа по телевизору.,This is my favorite TV show.,_,"учеба/работа, свободное время"
программа,proram,N.Fem.Inan,A1,"MiP, LM, МН",3,программ,Gen.Plur,На моем компьютере нет программ для обработки видео.,I don't have programs for editing videos on my computer.,_,"учеба/работа, свободное время"
дарить,_,V,A1,"Golosa, MiP, LM, МН",1,дарить,Inf,На день рождения принято дарить подарки.,It is customary to give birthday presents.,_,люди
дарить,_,V,A1,"Golosa, MiP, LM, МН",2,дарит,Sing.3.Pres/Fut,Дед Мороз дарит детям подарки на Новый год.,Santa Claus gives children presents on New Year's Eve.,_,люди
дарить,_,V,A1,"Golosa, MiP, LM, МН",3,дарят,Plur.3.Pres/Fut,"Я не люблю, когда мне дарят цветы.",I don't like it when people give me flowers.,_,люди
российский,Russian,A,A1,"Golosa, MiP, LM, МН",1,российской,Gen.Fem.Sing,"Цвета флага Российской Федерации — белый, синий и красный.","The colors of the Russian flag are white, blue and red.",_,"люди, путешествие, политика"
российский,Russian,A,A1,"Golosa, MiP, LM, МН",2,российских,Gen.Plur,В российских школах учатся 11 лет.,People study in Russian schools for 11 years.,_,"люди, путешествие, политика"
российский,Russian,A,A1,"Golosa, MiP, LM, МН",3,российского,Gen.Masc.Sing,У него нет российского паспорта.,He doesn't have a Russian passport.,_,"люди, путешествие, политика"
час,hour,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,часов,Gen.Plur,Я сегодня спал 10 часов!,I slept for 10 hours today!,_,"мера, время"
час,hour,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,часа,Gen.Sing,В два часа у нас встреча с новым клиентом.,I have a meeting with a new client at two o’clock.,_,"мера, время"
час,hour,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,час,Acc.Sing,Мы вернемся через час.,We'll be back in an hour.,_,"мера, время"
русский,Russian,A,A1,"LM, МН",1,русской,Gen.Fem.Sing,XIX век — «золотой» век русской литературы.,"The 19th century is the ""golden"" era of Russian literature.",_,"люди, путешествие, политика"
русский,Russian,A,A1,"LM, МН",2,русского,Gen.Masc.Sing,Мы идем на выставку русского авангарда в Третьяковскую галерею.,We are going to the exhibition of Russian avant-garde art at the Tretyakov gallery.,_,"люди, путешествие, политика"
русский,Russian,A,A1,"LM, МН",3,русском,Loc.Masc.Sing,"В русском языке существительные трех родов: мужского, женского и среднего.","There are nouns of three genders in Russian: masculine, feminine and neuter.",_,"люди, путешествие, политика"
мужчина,man,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",1,мужчина,Nom.Sing,Этот мужчина мне не знаком.,I don't know that man.,_,люди
мужчина,man,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",2,мужчин,Gen.Plur,В нашей школе нет мужчин среди преподавателей.,There are no men among the teachers at our school.,_,люди
мужчина,man,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",3,муж,Nom.Sing,"Знакомьтесь, это мой муж.",Let me introduce you my husband.,_,люди
книга,book,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,книгу,Acc.Sing,Я купила новую книгу Акунина.,I bought a new book by Akunin.,_,"учеба/работа, свободное время"
книга,book,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,книга,Nom.Sing,Эта книга мне не нравится.,I don't like that book.,_,"учеба/работа, свободное время"
книга,book,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,книге,Loc.Sing,В этой книге много ошибок.,There are many mistakes in this book.,_,"учеба/работа, свободное время"
высокий,high/tall,A,A1,"Golosa, MiP, МН",1,выше,Comp,Бурдж Дубаи выше Эйфелевой башни.,Burj Dubai is taller than the Eiffel tower.,_,мера
высокий,high/tall,A,A1,"Golosa, MiP, МН",2,высокий,Nom.Masc.Sing,У него высокий голос. ,He has a high voice.,_,мера
высокий,high/tall,A,A1,"Golosa, MiP, МН",3,высокой,Ins.Fem.Sing,Я не пришла на работу из-за высокой температуры.,I didn't come to work because of high fever.,_,мера
известный,famous,A,A1,"MiP, МН",1,известно,Neut.Sing,Это здание известно на весь мир.,This building is famous worldwide.,_,люди
известный,famous,A,A1,"MiP, МН",2,известных,Gen.Plur,Здесь много известных людей. ,There are many famous people here.,_,люди
известный,famous,A,A1,"MiP, МН",3,известные,Nom.Plur,Известные актеры приняли участие в благотворительном марафоне. ,Famous actors took part in a charity marathon.,_,люди
нога,leg/foot,N.Fem.Inan,A1,"MiP, МН",1,ноги,Acc.Plur,Впереди яма! Смотри под ноги!,There's a gap! Mind your feet!,_,"люди, здоровье"
нога,leg/foot,N.Fem.Inan,A1,"MiP, МН",2,ногами,Ins.Plur,"В футбол играют ногами, а в баскетбол — руками.","Football is played with the feet, basketball is played with the hands.",_,"люди, здоровье"
нога,leg/foot,N.Fem.Inan,A1,"MiP, МН",3,ногу,Acc.Sing,Она упала и сломала правую ногу.,She fell and broke her right leg.,_,"люди, здоровье"
делать,do/make,V,A1,"Golosa, MiP, LM, МН",1,делать,Inf,"Что делать, если болит зуб?",What should you do if you have a toothache?,_,"свободное время, учеба/работа"
делать,do/make,V,A1,"Golosa, MiP, LM, МН",2,делает,Sing.3.Pres/Fut,Он целыми днями сидит дома и ничего не делает!,All day long he just sits at home doing nothing!,_,"свободное время, учеба/работа"
делать,do/make,V,A1,"Golosa, MiP, LM, МН",3,делают,Plur.3.Pres/Fut,"Из молока делают сметану, масло, йогурт и творог.","Sour cream, butter, yoghurt and cottage cheese are made from milk.",_,"свободное время, учеба/работа"
думать,think,V,A1,"Golosa, MiP, LM, МН",1,думаю,Sing.1.Pres/Fut,"Я не думаю, что это хорошая идея.",I don’t think it’s a good idea.,_,"внутренний мир, учеба/работа"
думать,think,V,A1,"Golosa, MiP, LM, МН",2,думал,Masc.Sing.Past,"Когда Вася был маленьким, он думал, что столица США — Нью-Йорк.",When Vasya was little he used to think that New York is the capital of the USA.,_,"внутренний мир, учеба/работа"
думать,think,V,A1,"Golosa, MiP, LM, МН",3,думать,Inf,"Я не хочу сейчас об этом думать, я хочу спать!","I don't want to think about it now, I want to sleep!",_,"внутренний мир, учеба/работа"
образование,education,N.Neut.Inan,A1,"Golosa, MiP, МН",1,образования,Gen.Sing,Маша работает в министерстве образования.,Masha works in the ministry of education.,_,учеба/работа
образование,education,N.Neut.Inan,A1,"Golosa, MiP, МН",2,образование,Acc.Sing,Я получила высшее образование в Москве. А вы?,I got my higher education in Moscow. And you?,_,учеба/работа
образование,education,N.Neut.Inan,A1,"Golosa, MiP, МН",3,образованием,Ins.Sing,Кем можно работать с образованием философа?,What job can you get with a degree in philosophy?,_,учеба/работа
семья,family,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,семьи,Gen.Sing,Это вам подарок от нашей семьи.,This is a gift to you from our family.,_,люди
семья,family,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,семье,Loc.Sing,Он родился в большой семье.,He was born into a big family.,_,люди
семья,family,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,семья,Nom.Sing,"Наша семья не очень большая: мама, папа, моя сестра и я.","Our family is not very big: mom, dad, my sister and me.",_,люди
качество,quality,N.Neut.Inan,A1,"Golosa, MiP, МН",1,качестве,Loc.Sing,Эти фотографии можно повесить на стену в качестве украшения.,You can put these photos on the wall as a decoration.,_,"мера, описание"
качество,quality,N.Neut.Inan,A1,"Golosa, MiP, МН",2,качества,Gen.Sing,"Я купила дорогие кроссовки, но они оказались плохого качества.",I bought expensive sneakers but they turned out to be of bad quality.,_,"мера, описание"
качество,quality,N.Neut.Inan,A1,"Golosa, MiP, МН",3,качество,Nom.Sing,Честность — мое любимое качество в людях.,Honesty is my favorite quality in people.,_,"мера, описание"
рубль,rouble,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,рублей,Gen.Plur,Молоко стоит 50 рублей.,Milk costs 50 roubles.,_,"мера, учеба/работа"
рубль,rouble,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,рубля,Gen.Sing,Цена этого хлеба — 44 рубля.,The price of this bread is 44 roubles.,_,"мера, учеба/работа"
рубль,rouble,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,руб,Gen.Plur,_,_,_,"мера, учеба/работа"
ездить,go/drive,V,A1,"Golosa, MiP, МН, Кс",1,ездил,Masc.Sing.Past,На прошлой неделе он ездил в Санкт-Петербург.,Last week he went to Saint Petersburg.,_,путешествие
ездить,go/drive,V,A1,"Golosa, MiP, МН, Кс",2,ездить,Inf,До работы мне приходится ездить на метро.,I have to use the metro to get to work.,_,путешествие
ездить,go/drive,V,A1,"Golosa, MiP, МН, Кс",3,ездили,Plur.Past,В прошлом году мы ездили во Францию.,Last year we went to France.,_,путешествие
квартира,apartment,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,квартире,Loc.Sing,В моей квартире 3 комнаты.,There are 3 bedrooms in my apartment.,_,"люди, жилье"
квартира,apartment,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,квартиру,Acc.Sing,Я ищу квартиру в центре Москвы.,I am looking for an apartment in the centre of Moscow.,_,"люди, жилье"
квартира,apartment,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,квартира,Nom.Sing,"Моя квартира маленькая, но уютная.",This apartment is small but cozy.,_,"люди, жилье"
век,century,N.Masc.Inan,A1,"MiP, МН, Поехали",1,века,Gen.Sing,Это здание восемнадцатого века.,This building is from the 18th century.,_,"мера, время"
век,century,N.Masc.Inan,A1,"MiP, МН, Поехали",2,в,Gen.Sing,_,_,_,"мера, время"
век,century,N.Masc.Inan,A1,"MiP, МН, Поехали",3,веков,Gen.Plur,В течение многих веков люди жили без электричества.,For many centuries people lived without electricity.,_,"мера, время"
страница,page,N.Fem.Inan,A1,"MiP, МН",1,с,Nom.Sing,Первая страница в этой книге — пустая.,The first page of this book is blank.,_,"мера, учеба/работа"
страница,page,N.Fem.Inan,A1,"MiP, МН",2,страниц,Gen.Plur,В этой книге 200 страниц.,There are 200 pages in this book.,_,"мера, учеба/работа"
страница,page,N.Fem.Inan,A1,"MiP, МН",3,страницах,Loc.Plur,На последних страницах журнала напечатана моя статья.,My article is printed on the last pages of the journal.,_,"мера, учеба/работа"
ехать,go/drive,V,A1,"Golosa, MiP, LM, МН, Кс",1,ехать,Inf,"Уже поздно, нам пора ехать домой!","It’s late, time for us to go home!",_,путешествие
ехать,go/drive,V,A1,"Golosa, MiP, LM, МН, Кс",2,едет,Sing.3.Pres/Fut,Мальчик едет на велосипеде.,The boy is riding a bike.,_,путешествие
ехать,go/drive,V,A1,"Golosa, MiP, LM, МН, Кс",3,едем,Plur.1.Pres/Fut,Через неделю мы едем в Турцию.,In a week we’re going to Turkey.,_,путешествие
ждать,wait,V,A1,"MiP, LM, МН",1,ждёт,Sing.3.Pres/Fut,Меня ждет дома мама.,Mom is waiting for me at home.,_,"люди, время"
ждать,wait,V,A1,"MiP, LM, МН",2,ждать,Inf,"Я не люблю ждать тех, кто опаздывает.",I don't like waiting for people who are late.,_,"люди, время"
ждать,wait,V,A1,"MiP, LM, МН",3,ждали,Plur.Past,"Наш рейс задержали, и мы пять часов ждали вылета в аэропорту.","Our flight was delayed, we waited five hours in the airport for the departure.",_,"люди, время"
класс,class,N.Masc.Inan,A1,"Golosa, MiP, МН",1,класса,Gen.Sing,Мы дружим с первого класса.,We have been friends since first grade.,_,"люди, учеба/работа"
класс,class,N.Masc.Inan,A1,"Golosa, MiP, МН",2,класс,Nom.Sing,Наш класс не очень дружный: мы постоянно ссоримся.,Our class is not very friendly: we argue all lthe time.,_,"люди, учеба/работа"
класс,class,N.Masc.Inan,A1,"Golosa, MiP, МН",3,классе,Loc.Sing,В нашем классе 28 человек.,There are 28 people in our class.,_,"люди, учеба/работа"
свет,light/world,N.Masc.Inan,A1,МН,1,света,Gen.Sing,Пирамиды в Гизе — одно из семи чудес света.,Pyramids in Giza are one of the Seven Wonders of the world.,_,"люди, путешествие"
свет,light/world,N.Masc.Inan,A1,МН,2,свете,Loc.Sing,У меня лучшая мама на свете!,I have the best mom on Earth!,_,"люди, путешествие"
свет,light/world,N.Masc.Inan,A1,МН,3,свет,Nom.Sing,Свет Солнца доходит до Земли за 8 минут 19 секунд.,Solar light reaches Earth in 8 minutes and 19 seconds.,_,"люди, путешествие"
желать,wish,V,A1,"LM, МН",1,желаю,Sing.1.Pres/Fut,Я желаю вам счастья и любви!,I wish you happiness and love!,_,внутренний мир
желать,wish,V,A1,"LM, МН",2,желает,Sing.3.Pres/Fut,"Мы говорили ему пойти к врачу, но он не желает ничего слышать!","We told him to see doctor, but he doesn’t want to listen.",_,внутренний мир
желать,wish,V,A1,"LM, МН",3,желая,Pres/Fut,_,_,_,внутренний мир
ответ,answer/response,N.Masc.Inan,A1,МН,1,ответ,Acc.Sing,Я написала им письмо и теперь жду ответ.,I wrote them a letter and am now waiting for a response.,_,люди
ответ,answer/response,N.Masc.Inan,A1,МН,2,ответов,Gen.Plur,"Я задал много вопросов, но не получил на них ответов.",I asked many questions but didn’t get answers.,_,люди
ответ,answer/response,N.Masc.Inan,A1,МН,3,ответа,Gen.Sing,Он оставил мой вопрос без ответа.,He left my question unanswered.,_,люди
разный,different,A,A1,МН,1,разных,Gen.Plur,К нам приехали друзья из разных стран.,Friends from different countries came to see us.,_,мера
разный,different,A,A1,МН,2,разные,Nom.Plur,Все разные — все равные.,Everybody is different — everybody is equal.,_,мера
разный,different,A,A1,МН,3,разными,Ins.Plur,"Мы женаты, но живем под разными фамилиями.",We are married but live under different surnames.,_,мера
жить,live,V,A1,"Golosa, MiP, LM, МН",1,жить,Inf,Я хочу жить во Франции.,I want to live in France.,_,"время, люди"
жить,live,V,A1,"Golosa, MiP, LM, МН",2,живёт,Sing.3.Pres/Fut,Он живет в Лондоне.,He lives in London.,_,"время, люди"
жить,live,V,A1,"Golosa, MiP, LM, МН",3,жили,Plur.Past,Раньше мы жили в Санкт-Петербурге.,We used to live in Saint Petersburg.,_,"время, люди"
интересный,interesting,A,A1,"Golosa, MiP, LM, МН",1,интересно,Neut.Sing,С тобой интересно разговаривать.,It's interesting to talk to you.,_,описание
интересный,interesting,A,A1,"Golosa, MiP, LM, МН",2,интересная,Nom.Fem.Sing,Какая у тебя интересная жизнь!,You have such an interesting life!,_,описание
интересный,interesting,A,A1,"Golosa, MiP, LM, МН",3,интересное,Nom.Neut.Sing,Это интересное предложение. Я подумаю и перезвоню вам.,It’s an interesting suggestion. I’ll think about it and call you back.,_,описание
завтракать,have breakfast,V,A1,"Golosa, MiP, LM, МН",1,завтракать,Inf,Я люблю завтракать дома с семьей.,I like to have breakfast at home with my family.,_,еда
завтракать,have breakfast,V,A1,"Golosa, MiP, LM, МН",2,завтракал,Masc.Sing.Past,Во Франции я каждый день завтракал круассанами.,In France I ate croissants for breakfast every day.,_,еда
завтракать,have breakfast,V,A1,"Golosa, MiP, LM, МН",3,завтракали,Plur.Past,"11 утра, а мы еще не завтракали! Пойдем скорее есть!",It’s 11 AM and we haven’t had breakfast yet! Let’s go eat!,_,еда
месяц,month,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,месяц,Acc.Sing,Через месяц мы поедем на море.,In one month we’ll travel to the seaside.,_,"мера, время"
месяц,month,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,месяца,Gen.Sing,Я ничего не слышала от него уже три месяца. С ним всё в порядке?,I haven’t heard anything from him for 3 months already. Is he all right?,_,"мера, время"
месяц,month,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,месяцев,Gen.Plur,Я работаю в этой компании уже 10 месяцев.,I’ve been working for this company for 10 months already.,_,"мера, время"
следующий,next/following,A,A1,"MiP, LM, МН",1,следующий,Inan.Acc.Masc.Sing,В следующий раз не забудь взять с собой паспорт!,Don’t forget to take your passport with you next time!,_,"мера, время"
следующий,next/following,A,A1,"MiP, LM, МН",2,следующим,Ins.Masc.Sing,Следующим летом мы полетим в Италию.,Next summer we fly to Italy.,_,"мера, время"
следующий,next/following,A,A1,"MiP, LM, МН",3,следующем,Loc.Masc.Sing,В следующем году мне исполнится 30 лет.,I turn 30 next year.,_,"мера, время"
звонить,call/ring,V,A1,"MiP, LM, МН",1,звонил,Masc.Sing.Past,"Пока вас не было, у вас звонил телефон.",Your phone was ringing while you were away.,_,"люди, общение"
звонить,call/ring,V,A1,"MiP, LM, МН",2,звонить,Inf,"Как хорошо, что вы пришли. Я уже собирался вам звонить.",So good that you came. I was just about to call you.,_,"люди, общение"
звонить,call/ring,V,A1,"MiP, LM, МН",3,звонит,Sing.3.Pres/Fut,"Он обещал позвонить сегодня, но почему-то не звонит.",He promised to call today but hasn’t called for some unknown reason.,_,"люди, общение"
минута,minute,N.Fem.Inan,A1,"MiP, LM, МН",1,минут,Gen.Plur,Спектакль начнется через 5 минут.,The show starts in 5 minutes.,_,"мера, время"
минута,minute,N.Fem.Inan,A1,"MiP, LM, МН",2,минуту,Acc.Sing,Дайте мне минуту! Я всё объясню.,Give me a minute! I’ll explain everything.,_,"мера, время"
минута,minute,N.Fem.Inan,A1,"MiP, LM, МН",3,минуты,Gen.Sing,Она придет через 3 минуты.,She will come in 3 minutes.,_,"мера, время"
вечер,evening,N.Masc.Inan,A1,"Golosa, MiP, LM, МН, Поехали",1,вечером,Ins.Sing,Пойдем в кино сегодня вечером?,Shall we go to the movie theater tonight?,_,"мера, время"
вечер,evening,N.Masc.Inan,A1,"Golosa, MiP, LM, МН, Поехали",2,вечера,Gen.Sing,Давайте подождем до вечера и потом будем звонить ему.,Let's wait until evening and then we’ll call him.,_,"мера, время"
вечер,evening,N.Masc.Inan,A1,"Golosa, MiP, LM, МН, Поехали",3,вечер,Acc.Sing,У нас большие планы на сегодняшний вечер!,We have big plans for this evening!,_,"мера, время"
имя,name,N.Neut.Inan,A1,"Golosa, MiP, МН",1,имя,Acc.Sing,"Назовите, пожалуйста, Ваше имя!",Tell me your name please!,_,люди
имя,name,N.Neut.Inan,A1,"Golosa, MiP, МН",2,имени,Gen.Sing,"Уважаемые пассажиры, от имени нашей авиакомпании желаю вам приятного полета!","Dear passengers, on behalf of our company I wish you a pleasant flight!",_,люди
имя,name,N.Neut.Inan,A1,"Golosa, MiP, МН",3,именем,Ins.Sing,"Никто не знает, какой художник скрывается под именем Бэнкси.",Nobody knows the artist who is hiding under Banksy’s name.,_,люди
молодой,young,A,A1,"Golosa, MiP, LM, МН",1,молодой,Nom.Masc.Sing,"Этот молодой человек показался мне знакомым, но я не могла вспомнить его имени.",This young man seemed familiar to me but I couldn’t recall his name.,_,"люди, мера, время"
молодой,young,A,A1,"Golosa, MiP, LM, МН",2,молодых,Gen.Plur,Для молодых исследователей в этом научном центре есть хорошие условия.,There are good conditions for young researchers in this scientific center.,_,"люди, мера, время"
молодой,young,A,A1,"Golosa, MiP, LM, МН",3,молодые,Nom.Plur,Молодые ученые собрались на конференцию в Милане.,Young scientists gathered for the conference in Milan.,_,"люди, мера, время"
здравствовать,_,V,A1,МН,1,здравствуйте,Imper.Plur.2,"Здравствуйте, уважаемые участники конференции!","Hello, dear conference participants!",_,"люди, общение"
здравствовать,_,V,A1,МН,2,здравствует,Sing.3.Pres/Fut,Да здравствует свобода!,Long live freedom!,_,"люди, общение"
здравствовать,_,V,A1,МН,3,здравствуй,Imper.Sing.2,"Здравствуй, Катя! Давно не виделись! Как твои дела?","Hi, Katya! Long time no see! How are you?",_,"люди, общение"
событие,event,N.Neut.Inan,A1,МН,1,событий,Gen.Plur,Мы будем следить за развитием событий.,We’ll keep on watching the development of events.,_,"люди, время"
событие,event,N.Neut.Inan,A1,МН,2,события,Nom.Plur,События последних дней меня сильно потрясли.,The events of last days really upset me.,_,"люди, время"
событие,event,N.Neut.Inan,A1,МН,3,событие,Nom.Sing,Полет человека в космос— большое событие для всего мира.,Human flight into outer space is a big event for the whole world.,_,"люди, время"
знать,know,V,A1,"Golosa, MiP, LM, МН",1,знаю,Sing.1.Pres/Fut,Я не знаю этого человека.,I don't know that person.,_,"внутренний мир, учеба/работа"
знать,know,V,A1,"Golosa, MiP, LM, МН",2,знаете,Plur.2.Pres/Fut,"Знаете ли вы, что Луна — спутник Земли?",Do you know that the Moon is a satellite of the Earth?,_,"внутренний мир, учеба/работа"
знать,know,V,A1,"Golosa, MiP, LM, МН",3,знает,Sing.3.Pres/Fut,Он много знает об истории России.,He knows a lot about Russian history.,_,"внутренний мир, учеба/работа"
ночь,night,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,ночь,Acc.Sing,Мы были в клубе всю ночь.,We were in the club the whole night.,_,"мера, время"
ночь,night,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,ночью,Ins.Sing,За полярным кругом ночью можно увидеть северное сияние.,It's possible to see the northern lights at night above the polar circle.,_,"мера, время"
ночь,night,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,ночи,Gen.Sing,Наш самолет улетает в два часа ночи.,Our flight departss at 2 AM.,_,"мера, время"
машина,"car, mashine",N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,машину,Acc.Sing,"Садись в машину, нам пора ехать!","Get inside the car, it’s time to go!",_,"люди, путешествие"
машина,"car, mashine",N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,машины,Gen.Sing,За городом трудно жить без машины.,It's difficult to live outside the city without a car.,_,"люди, путешествие"
машина,"car, mashine",N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,машина,Nom.Sing,"Моя машина сломалась, нужно везти ее в ремонт.","My car broke down, I need to take it in for service.",_,"люди, путешествие"
играть,play,V,A1,"Golosa, MiP, LM, МН",1,играть,Inf,Я не умею играть в баскетбол.,I don't know how to play basketball.,_,"люди, свободное время"
играть,play,V,A1,"Golosa, MiP, LM, МН",2,играет,Sing.3.Pres/Fut,Мой брат играет на гитаре.,My brother plays the guitar.,_,"люди, свободное время"
играть,play,V,A1,"Golosa, MiP, LM, МН",3,играл,Masc.Sing.Past,"Роналду раньше играл за Реал Мадрид, а теперь играет за Ювентус.","Ronaldo used to play for Real Madrid, and now he plays for Juventus.",_,"люди, свободное время"
идти,go,V,A1,"Golosa, MiP, LM, МН, Кс",1,идёт,Sing.3.Pres/Fut,В сентябре моя дочь идет в школу.,My daughter starts school in September.,_,"люди, свободное время, погода"
идти,go,V,A1,"Golosa, MiP, LM, МН, Кс",2,идти,Inf,Я ударила ногу и не могу идти дальше.,I hit my leg and can’t walk further.,_,"люди, свободное время, погода"
